epoch,loss_mean,loss_std,loss_min,loss_max,loss_median,lr,grad_norm,epoch_time_sec,samples_per_sec,batches_per_sec,num_batches,num_samples,gpu_mem_allocated_mb,gpu_mem_reserved_mb,gpu_mem_peak_mb,ema_delta_norm,wall_clock_sec,cumulative_time_sec,cumulative_samples
0,0.4844603400964003,0.2345704319504139,0.26464197039604187,1.023880958557129,0.3915950059890747,0.0001,2.080990633774913,10.578811883926392,2516.728749137974,1.2288714595400263,13,26624,401.77664,35934.69952,31334.174208,2.2639416277806186,11.089104890823364,11.089104890823364,26624
1,0.22744939075066492,0.01660315471953209,0.20250676572322845,0.25483840703964233,0.2286078780889511,0.0001,0.4879243090855271,9.008477687835693,2955.4383018510284,1.4430851083256975,13,26624,400.072704,35934.69952,31334.128128,3.2075334258597854,20.173027276992798,20.173027276992798,53248
2,0.18402669521478507,0.010322042045795309,0.1711438149213791,0.20036537945270538,0.18253491818904877,0.0001,0.2054217672962471,9.021175622940063,2951.2783159101223,1.4410538651904894,13,26624,403.323392,35934.69952,31334.023168,3.8046192690901517,29.26925754547119,29.26925754547119,79872
3,0.15458168777135703,0.007613040289256513,0.14200493693351746,0.16527314484119415,0.1579226702451706,0.0001,0.18232937312969455,9.032734394073486,2947.5017019728166,1.4392098154164144,13,26624,400.072704,35934.69952,31334.023168,4.195391308407672,38.37561082839966,38.37561082839966,106496
4,0.13252279678216347,0.009364301460176621,0.11798480898141861,0.14915288984775543,0.12898194789886475,0.0001,0.1425621610386444,9.02998948097229,2948.3976759996517,1.439647302734205,13,26624,403.323392,35934.69952,31334.023168,4.519093970920039,47.4952495098114,47.4952495098114,133120
5,0.11820161858430275,0.003204097749517188,0.11177925020456314,0.12228143960237503,0.11838485300540924,0.0001,0.17058283466433835,9.040132522583008,2945.0895695932577,1.4380320164029579,13,26624,400.072704,35934.69952,31334.023168,4.805273767969341,56.610347509384155,56.610347509384155,159744
6,0.10540701276980914,0.004396671351294662,0.09687873721122742,0.11314691603183746,0.10578493773937225,0.0001,0.1683868202521304,9.040330171585083,2945.0251810141453,1.4380005766670632,13,26624,403.323392,35934.69952,31334.023168,5.05055279562783,65.7470121383667,65.7470121383667,186368
7,0.10010530283817878,0.002560860903695333,0.09672287106513977,0.10490258783102036,0.09937659651041031,0.0001,0.29358150115020976,9.03662633895874,2946.2322554179873,1.438589968465814,13,26624,400.072704,35934.69952,31334.023168,5.249445052906227,74.85299563407898,74.85299563407898,212992
8,0.0920904943576226,0.0028162210284099465,0.08513912558555603,0.09692618250846863,0.0922977477312088,0.0001,0.13626105195674906,9.03750228881836,2945.9466951328486,1.4384505347328362,13,26624,403.323392,35934.69952,31334.023168,5.4190927684389605,83.96737837791443,83.96737837791443,239616
9,0.08816199004650116,0.0026917702692009662,0.08446070551872253,0.09283208847045898,0.08875570446252823,0.0001,0.23923267558021052,9.03444790840149,2946.942665444038,1.4389368483613467,13,26624,400.072704,35934.69952,31334.023168,5.572694633552305,93.06823921203613,93.06823921203613,266240
